ingredient,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,calcium_mg,iron_mg,sodium_mg,potassium_mg,vitamin_c_mg,cholesterol_mg
Stouffer'S Ln Cuisine Oriental Bf W/ Veg & Rice,7.4,0.5,0.11,1.1,0.16,0.31,1.2,0.05,21.0,28.4,0.2,0.9
Stouffer'S Ln Cuisine Spaghetti W/ Meat Sau,8.7,0.43,0.11,1.49,0.14,0.26,3.1,0.07,16.8,17.6,0.09,0.4
Stouffer'S Ln Cuisine Spaghetti W/ Meatballs & Sau,9.3,0.67,0.19,1.23,0.15,0.24,3.7,0.08,21.1,19.0,0.11,0.9
Stouffer'S Ln Cuisine Swedish Meatballs W/ Paste,10.6,0.86,0.26,1.21,0.1,0.18,4.4,0.1,23.8,21.7,0.0,1.9
Stouffer'S Stuffed Peppers W/ Bf In Tomato Sau,7.3,0.37,0.26,0.87,0.12,0.27,1.7,0.07,28.4,15.8,1.17,0.8
Strawberries,6.66,0.05,0.02,1.75,0.19,1.48,1.34,0.05,0.22,11.66,4.25,0.0
Strawberry-Flavor Bev Mix,23.85,0.16,0.16,5.57,0.0,4.77,5.7,0.03,4.3,7.25,0.06,0.6
Strudel,27.4,0.33,1.12,4.11,0.22,2.58,1.5,0.04,26.9,14.9,0.17,0.6
Sturgeon,13.77,2.27,0.45,0.0,0.0,0.0,1.57,0.08,28.73,34.23,0.0,7.23
Succotash,9.3,0.42,0.08,2.0,0.33,0.06,1.5,0.11,13.89,29.5,0.78,0.0
Sucker,10.55,1.91,0.26,0.0,0.0,0.0,8.0,0.15,4.55,43.35,0.0,4.7
Sugar-Apples,9.4,0.21,0.03,2.36,0.44,0.0,2.4,0.06,0.9,24.7,3.63,0.0
Sugars,37.75,0.01,0.01,9.71,0.0,9.49,4.38,0.06,1.0,10.28,0.0,0.0
Sunfish,10.15,2.21,0.08,0.0,0.0,0.0,9.15,0.14,9.15,39.95,0.1,7.65
Sunflower Sd Butter,57.9,1.97,4.77,2.74,0.0,0.0,12.2,0.48,26.15,7.2,0.27,0.0
Sunflower Sd Flr,32.6,4.81,0.16,3.58,0.52,0.0,11.4,0.66,0.3,6.7,0.13,0.0
Sunflower Sd Krnls,59.57,1.91,5.25,2.22,1.04,0.2,7.23,0.5,20.73,61.33,0.13,0.0
Supper Bakes Meal Kits,14.7,0.48,0.32,2.48,0.08,0.24,0.0,0.0,52.0,0.0,0.0,0.8
Swamp Cabbage,1.97,0.23,0.02,0.35,0.2,0.0,6.17,0.14,19.77,29.33,2.9,0.0
Sweet Potato,9.65,0.15,0.04,2.19,0.25,0.57,2.96,0.08,7.31,30.36,1.1,0.07
Sweet Potato Leaves,3.43,0.29,0.03,0.7,0.19,0.36,2.83,0.07,9.03,49.07,0.47,0.0
Sweet Rolls,35.67,0.59,1.5,5.06,0.09,0.79,6.38,0.19,58.42,9.22,0.06,3.55
Sweeteners,34.06,0.06,0.0,8.89,0.0,8.3,0.02,0.01,8.84,0.24,0.0,0.0
Sweetpotato,9.1,0.16,0.02,2.11,0.18,0.5,2.2,0.09,5.3,31.2,2.64,0.0
Swordfish,13.8,2.26,0.46,0.0,0.0,0.0,0.5,0.09,10.25,32.85,0.11,4.45
Syrups,25.54,0.08,0.07,6.65,0.03,3.29,2.56,0.05,8.35,13.14,0.0,0.03
Taco Bell,21.99,0.94,1.06,2.17,0.29,0.0,9.81,0.19,52.99,22.51,0.0,2.15
Taco Shells,46.75,0.71,2.17,6.26,0.6,0.06,13.05,0.22,20.2,20.1,0.0,0.0
Tamarind Nectar,5.7,0.01,0.01,1.47,0.05,1.27,1.0,0.08,0.7,2.7,0.71,0.0
Tamarinds,23.9,0.28,0.06,6.25,0.51,5.74,7.4,0.28,2.8,62.8,0.35,0.0
Tangerine Juc,8.57,0.08,0.02,2.06,0.03,0.39,1.77,0.02,0.17,22.93,4.38,0.0
Tangerine Juice,4.3,0.05,0.02,1.01,0.02,0.99,1.8,0.02,0.1,17.8,3.1,0.0
Tangerines,4.72,0.07,0.01,1.21,0.11,1.08,1.68,0.03,0.45,12.82,2.86,0.0
Tapioca,35.8,0.02,0.0,8.87,0.09,0.33,2.0,0.16,0.1,1.1,0.0,0.0
Taro,7.08,0.21,0.04,1.54,0.2,0.02,7.58,0.1,14.34,52.69,3.01,0.0
Taro Leaves,3.3,0.39,0.06,0.54,0.29,0.15,9.65,0.17,0.25,55.4,4.38,0.0
Taro Shoots,1.25,0.08,0.01,0.28,0.0,0.0,1.3,0.05,0.15,33.8,2.0,0.0
